skill_component_id,skill_component,description,purpose,domain,keywords_en,keywords_ge
sc_0041,Implement data privacy and protection measures to ensure compliance with regulations and ethical standards,NA,"BUILD AI, INTEGRATE AI, BUILD AI","AI Regulation, Data Competence, AI Ethics, Software Design","data privacy implementation, data protection measures, regulatory compliance (gdpr), ethical data handling, data security practices, privacy-preserving data management, data compliance strategies, secure data management, privacy safeguards, data governance for privacy, data protection protocols, ensuring data confidentiality, compliance with data regulations, implementing data ethics, protect sensitive data","datenschutzimplementierung, datenschutzmaßnahmen, regulatorische compliance (dsgvo), ethischer datenumgang, datensicherheitspraktiken, datenschutzfreundliches datenmanagement, daten-compliance-strategien, sichere datenverwaltung, datenschutzvorkehrungen, daten-governance für datenschutz, datenschutzprotokolle, sicherstellung der datenvertraulichkeit, einhaltung von datenschutzvorschriften, umsetzung von datenethik, schutz sensibler daten"
sc_0042,Conduct AI system compliance audits,NA,"INTEGRATE AI, FRAME AI",AI Regulation,"ai compliance audit, system audit, regulatory audit of ai, compliance review, audit ai systems, ensure compliance, legal adherence check, ethical compliance audit, performing audits, internal compliance check, oversight auditing, audit processes for ai","ki-compliance-audit, system-audit, regulatorisches ki-audit, compliance-überprüfung, ki-systeme auditieren, einhaltung sicherstellen, rechtlichkeitsprüfung, ethisches compliance-audit, audits durchführen, interne compliance-prüfung, aufsichts-audit, audit-prozesse für ki"
sc_0043,"Design organizational AI governance policies, ethics frameworks, and operational protocols",NA,"INTEGRATE AI, FRAME AI",AI Regulation,"ai governance policies, ethics framework design, operational ai protocols, organizational ai policy, ai ethics guidelines, governance policy development, ai operational procedures, design ai oversight policies, ai ethics framework, organizational protocols for ai, ai governance design, ai policy framework, ethics and governance protocols, corporate ai policies, ai governance structure design","ki-governance-richtlinien, ethik-rahmenwerk-design, operative ki-protokolle, organisatorische ki-richtlinie, ki-ethik-leitlinien, entwicklung von governance-richtlinien, ki-betriebsverfahren, aufsichtsrichtlinien für ki entwerfen, ki-ethik-rahmenwerk, organisatorische ki-protokolle, ki-governance-design, ki-rahmenrichtlinie, ethik- und governance-protokolle, unternehmensweite ki-richtlinien, ki-governance-struktur-design"
sc_0044,"Monitor emerging AI regulatory developments, legislative trends, and policy updates",NA,"INTEGRATE AI, FRAME AI",AI Regulation,"monitor regulations, track ai legislation, keep up-to-date with ai laws, legislative tracking, policy monitoring, regulatory developments, emerging ai laws, trend monitoring, policy updates awareness, regulatory intelligence, staying informed on regulations, legal watch, compliance updates","ki-regulierungen beobachten, ki-gesetzgebung verfolgen, auf dem laufenden bleiben zu ki-gesetzen, gesetzgebungs-tracking, policy-monitoring, regulatorische entwicklungen, aufkommende ki-gesetze, trendbeobachtung, aufmerksamkeit für policy-updates, regulatorische intelligence, informiert bleiben über regulierungen, legal watch, compliance-updates"
sc_0045,Implement AI risk management systems throughout the entire product lifecycle,NA,"BUILD AI, INTEGRATE AI",AI Regulation,"ai risk management, risk systems implementation, throughout product lifecycle, risk assessment processes, integrated risk management, lifecycle risk mitigation, continuous risk management, risk identification, risk control systems, product life cycle risk oversight, risk monitoring, enterprise risk framework for ai","ki-risikomanagement, implementierung von risikosystemen, über den gesamten produktlebenszyklus, risiko­bewertungsprozesse, integriertes risikomanagement, risikominderung über den lebenszyklus, kontinuierliches risikomanagement, risikoidentifikation, risikokontrollsysteme, risikoaufsicht im produktlebenszyklus, risikomonitoring, enterprise-risikorahmen für ki"
sc_0046,Identify applicable AI governance and legal frameworks and obligations across jurisdictions,NA,"INTEGRATE AI, FRAME AI, BUILD AI","AI Regulation, AI Ethics","identify ai regulations, legal frameworks identification, jurisdictional obligations, governance frameworks across regions, ai legal compliance requirements, regulatory mapping, jurisdictional law identification, multi-region ai laws, obligations across jurisdictions, ai governance standards, applicable ai laws, legal requirements analysis, cross-border regulations, international ai governance, compliance requirements identification","anwendbare ki-regeln identifizieren, identifizierung rechtlicher rahmen, verpflichtungen in verschiedenen rechtssystemen, governance-rahmenwerke über regionen, rechtliche ki-compliance-anforderungen, regulatorisches mapping, identifizierung von rechtsvorschriften, multiregionale ki-gesetze, pflichten in unterschiedlichen rechtsräumen, ki-governance-standards, anwendbare ki-gesetze, analyse rechtlicher anforderungen, grenzüberschreitende regulierungen, internationale ki-governance, identifizierung von compliance-anforderungen"
sc_0047,Perform human-rights impact assessment for given AI systems,NA,"BUILD AI, INTEGRATE AI, FRAME AI",AI Regulation,"fundamental rights, algorithmic bias, digital sovereignty, privacy impact, discrimination risk, freedom of expression, social impact, accountability, stakeholder consultation, fairness metrics","grundrechte, algorithmischer bias, digitale souveränität, datenschutzfolgen, diskriminierungsrisiko, meinungsfreiheit, soziale auswirkungen, rechenschaftspflicht, stakeholder-konsultation, fairness-metriken"
sc_0048,Demonstrate compliance to high-risk requirements through harmonized standards,NA,"BUILD AI, INTEGRATE AI, BUILD AI","AI Regulation, AI Ethics","demonstrate compliance, high-risk ai requirements, harmonized standards adherence, prove compliance, standards compliance demonstration, meeting regulatory standards, compliance evidence, adherence to harmonized norms, fulfill high-risk criteria, standardized compliance, ensure compliance with standards, show regulatory conformity, compliance certification, align with iso standards, document meeting requirements","compliance nachweisen, hochrisiko-ki-anforderungen, einhaltung harmonisierter standards, konformität belegen, nachweis der standard-compliance, erfüllung regulatorischer standards, compliance-nachweis, einhaltung harmonisierter normen, hochrisiko-kriterien erfüllen, standardisierte compliance, einhaltung von standards sicherstellen, regulatorische konformität zeigen, compliance-zertifizierung, an iso-standards ausrichten, erfüllung der anforderungen dokumentieren"
sc_0049,Execute technical requirements from regulation,NA,BUILD AI,"AI Regulation, MLOps/Infrastructure","implement technical compliance, technical regulatory requirements, regulatory technical standards, compliance engineering, technical implementation of laws, fulfill technical standards, ensure technical compliance, align system with technical rules, coding to meet regulations, build regulatory technical features, implement mandated tech standards, technical guidelines implementation","technische compliance umsetzen, technische regulatorische anforderungen, technische regulierungsstandards, compliance engineering, technische umsetzung von gesetzen, technische standards erfüllen, technische compliance sicherstellen, system an technische regeln anpassen, programmierung gemäß regulatorik, entwicklung regulatorischer technischer features, vorgeschriebene technische standards implementieren, umsetzung technischer richtlinien"
sc_0050,Execute non-technical requirements from regulation,NA,"INTEGRATE AI, FRAME AI",AI Regulation,"ai act compliance, data privacy, audit trails, documentation standards, transparency obligations, ethics guidelines, liability frameworks, risk management, governance models, certification","ai-act-konformität, datenschutz, audit-trails, dokumentationsstandards, transparenzpflichten, ethikrichtlinien, haftungsrahmen, risikomanagement, governance-modelle, zertifizierung"
sc_0051,Design and implement automated data pipelines for processing and transformation workflows,NA,BUILD AI,Data Competence,"automated data pipeline design, data workflow automation, etl pipeline development, data processing pipelines, data integration pipeline, automated data processing, data pipeline implementation, data pipeline automation, data ingestion pipeline design, data transformation workflows, end-to-end data pipeline, automated etl processes, data flow automation, data processing automation, scalable data pipeline design","automatisiertes datenpipeline-design, daten-workflow-automatisierung, etl-pipeline-entwicklung, datenverarbeitungs-pipelines, datenintegrations-pipeline, automatisierte datenverarbeitung, datenpipeline-implementierung, datenpipeline-automatisierung, datenaufnahme-pipeline-design, daten-transformations-workflows, end-to-end-datenpipeline, automatisierte etl-prozesse, datenfluss-automatisierung, automatisierung der datenverarbeitung, skalierbares datenpipeline-design"
sc_0052,Clean and transform raw data into structured formats for analysis and modeling,NA,BUILD AI,Data Competence,"data cleaning, data preprocessing, data wrangling, data transformation, data preparation, raw data cleaning, data normalization, data formatting, data preprocessing for modeling, cleaning raw datasets, transforming data for analysis, data munging, data sanitization, data curation for modeling, prepare data for analysis","datenbereinigung, datenvorverarbeitung, datenaufbereitung, datentransformation, datenaufbereitung (preparation), rohdaten-bereinigung, datennormalisierung, datenformatierung, datenvorbereitung für modellierung, rohdatensätze säubern, daten für analyse transformieren, daten-munging, datensäuberung, datenkuratierung für modellierung, daten für analyse vorbereiten"
sc_0053,Perform statistical analysis and hypothesis testing to validate data-driven conclusions,NA,BUILD AI,Data Competence,"statistical analysis, hypothesis testing, inferential statistics, significance testing, validating conclusions, data-driven validation, statistical hypothesis testing, data analysis validation, confirmatory analysis, testing hypotheses, validating results, statistical inference, statistical validation, analyzing data patterns, drawing statistical conclusions","statistische analyse, hypothesentests, inferenzstatistik, signifikanztests, validierung von schlussfolgerungen, datengetriebene validierung, statistisches testen von hypothesen, validierung von datenanalysen, konfirmatorische analyse, hypothesenprüfung, ergebnisvalidierung, statistische inferenz, statistische validierung, datenmuster analysieren, statistische schlussfolgerungen ziehen"
sc_0054,Create data visualizations that communicate complex findings effectively to stakeholders,NA,BUILD AI,Data Competence,"data visualization, visualizing complex data, communicating data insights, effective data communication, stakeholder data dashboards, graphical data representation, visual analytics, insightful charts and graphs, data storytelling, presenting data findings, data-driven storytelling, clear data visualization, communicate insights visually, visual communication of data, interactive data dashboards","datenvisualisierung, komplexe daten visualisieren, vermittlung von daten-insights, effektive datenkommunikation, stakeholder-dashboards, grafische datenaufbereitung, visuelle analytik, aufschlussreiche diagramme und grafiken, daten storytelling, präsentation von analyseergebnissen, datengetriebenes erzählen, klare datenvisualisierung, einblicke visuell kommunizieren, visuelle datenkommunikation, interaktive daten-dashboards"
sc_0055,"Perform exploratory data analysis to uncover patterns, trends, and actionable insights",NA,BUILD AI,Data Competence,"exploratory data analysis, eda, discover data patterns, uncover data trends, data exploration, finding actionable insights, data pattern discovery, data trend analysis, insight generation, data probing, exploring datasets, initial data analysis, descriptive analytics, pattern and trend identification, data insight exploration","explorative datenanalyse, eda, datenmuster entdecken, datentrends aufdecken, datenexploration, handlungsrelevante einblicke finden, mustererkennung in daten, trendanalyse, erkenntnisgewinnung, datenprüfung, datensätze explorieren, anfängliche datenanalyse, deskriptive analytik, muster- und trendidentifikation, daten-insight-exploration"
sc_0056,Process and extract structured information from multimodal unstructured data sources,NA,BUILD AI,Data Competence,"multimodal data processing, unstructured data extraction, structured information extraction, processing text and image data, extracting information from diverse data, unstructured data parsing, multi-source data processing, information extraction from multimedia, data structuring from raw sources, text and image data extraction, processing heterogeneous data, structured data output from unstructured, multimodal data integration, unstructured to structured data conversion, extracting insights from unstructured data","multimodale datenverarbeitung, extraktion unstrukturierter daten, extraktion strukturierter informationen, verarbeitung von text- und bilddaten, informationen aus vielfältigen daten extrahieren, parsing unstrukturierter daten, multi-quellen-datenverarbeitung, informationsextraktion aus multimedia, datenstrukturierung aus rohquellen, extraktion von text- und bilddaten, verarbeitung heterogener daten, strukturierte datenausgabe aus unstrukturiertem, multimodale datenintegration, konvertierung unstrukturierter in strukturierte daten, gewinnung von einblicken aus unstrukturierten daten"
sc_0057,Design and deploy interactive dashboards and automated reporting solutions for business intelligence,NA,BUILD AI,Data Competence,"bi dashboard development, interactive dashboard design, automated reporting, business intelligence dashboards, dynamic analytics dashboards, real-time bi reports, self-service bi reporting, data visualization dashboards, kpi dashboard creation, automated analytics reports, dashboard and report automation, interactive bi tools, business analytics dashboards, reporting solution design, visual reporting tools","bi-dashboard-entwicklung, interaktives dashboard-design, automatisiertes reporting, business-intelligence-dashboards, dynamische analytics-dashboards, echtzeit-bi-berichte, self-service-bi-reporting, datenvisualisierungs-dashboards, kpi-dashboard-erstellung, automatisierte analytics-berichte, dashboard- und berichtsautomation, interaktive bi-tools, business-analytics-dashboards, reporting-lösungsdesign, visuelle reporting-tools"
sc_0058,Design and implement data architecture on an enterprise or use case level,NA,BUILD AI,Data Competence,"enterprise data model, data governance, master data management (mdm), cloud data warehouse, data mesh, data security, interoperability, metadata management, disaster recovery, data sovereignty","unternehmensdatenmodell, data governance, stammdatenmanagement (mdm), cloud data warehouse, data mesh, datensicherheit, interoperabilität, metadatenmanagement, disaster recovery, datensouveränität"
sc_0059,Document and maintain datasets and metadata within data catalog systems,NA,BUILD AI,Data Competence,"dataset documentation, metadata management, maintaining data catalog, data cataloging, dataset curation, metadata documentation, data inventory management, data documentation practices, data lineage documentation, data asset management, data registry maintenance, documenting datasets, metadata catalog upkeep, data governance documentation, data repository documentation","datensatz-dokumentation, metadaten-management, datenkatalog-pflege, datenkatalogisierung, datenkurierung, metadaten-dokumentation, dateninventar-verwaltung, daten-dokumentationspraktiken, datenherkunftsdokumentation, daten-asset-management, datenregister-wartung, dokumentation von datensätzen, metadatenkatalog-pflege, daten-governance-dokumentation, datenarchiv-dokumentation"
sc_0060,Design and implement data quality validation frameworks and monitoring systems,NA,BUILD AI,"Data Competence, MLOps/Infrastructure","data quality assurance, data validation frameworks, data quality checks, data monitoring systems, data integrity validation, data quality controls, data quality auditing, automated data validation, data quality management, data quality metrics, data verification processes, data quality assessment, ensuring data accuracy, data quality frameworks, data consistency checks","datenqualitäts­sicherung, datenvalidierungs-frameworks, datenqualitätsprüfungen, daten-überwachungssysteme, validierung der datenintegrität, datenqualitätskontrollen, datenqualitäts-audits, automatisierte datenvalidierung, datenqualitätsmanagement, datenqualitätsmetriken, datenüberprüfungsprozesse, datenqualitätsbewertung, sicherstellung der datenkorrektheit, datenqualitäts-rahmenwerke, konsistenzprüfungen der daten"
sc_0061,Design and implement data ingestion strategies across diverse source systems,NA,BUILD AI,"Data Competence, Programming, MLOps/Infrastructure","data ingestion pipelines, data integration strategies, multi-source data ingestion, etl strategies, data import processes, data aggregation from sources, data ingestion framework, ingesting data from multiple systems, data extraction and loading, diverse source integration, data ingestion planning, heterogeneous data integration, cross-system data ingestion, scalable data ingestion, data ingestion design","datenaufnahme-pipelines, datenintegrationsstrategien, datenaufnahme aus mehreren quellen, etl-strategien, datenimportprozesse, datenaggregation aus quellen, dateningestions-framework, daten aus mehreren systemen einlesen, datenextraktion und -laden, integration diverser quellen, dateningestions-planung, heterogene datenintegration, systemübergreifende datenaufnahme, skalierbare datenaufnahme, dateningestions-design"
sc_0062,Design database schemas and data modeling strategies,NA,BUILD AI,"Data Competence, Software Design","database schema design, data modeling, database design, schema modeling, relational schema design, logical data modeling, conceptual data modeling, database normalization, er model design, data architecture design, schema design strategies, data model planning, designing data structures, database schema planning, modeling data relationships","datenbankschema-design, datenmodellierung, datenbankentwurf, schema-modellierung, relationales schema-design, logische datenmodellierung, konzeptionelle datenmodellierung, datenbank-normalisierung, er-modell-entwurf, datenarchitektur-design, schema-design-strategien, datenmodellplanung, entwurf von datenstrukturen, datenbankschema-planung, modellierung von datenbeziehungen"
sc_0063,Evaluate data source credibility and relevance for AI use cases,NA,BUILD AI,Data Competence,"data source evaluation, credibility assessment, source reliability, relevance checking, source trustworthiness, data provenance, evaluate data quality, data source trust, relevant data sources, data origin validation, information credibility, data reliability, ensure data relevance, source assessment","bewertung von datenquellen, glaubwürdigkeitsbewertung, quellenzuverlässigkeit, relevanzprüfung, vertrauenswürdigkeit der quelle, datenherkunft, datenqualität bewerten, vertrauen in datenquelle, relevante datenquellen, validierung der datenquelle, informationsglaubwürdigkeit, datenzuverlässigkeit, datenrelevanz sicherstellen, quellenbewertung"
sc_0064,Interpret statistical and analytical outputs from AI systems,NA,BUILD AI,Data Competence,"interpret ai results, understanding analytics, statistical output interpretation, analyze ai results, interpret model output, insight extraction, reading ai output metrics, interpreting predictions, analytical reasoning, deriving meaning from ai analytics, explain model results, result interpretation, translate statistics into insights","ki-ergebnisse interpretieren, analytische ergebnisse verstehen, statistische ausgaben interpretieren, ki-ergebnisse analysieren, modellausgabe interpretieren, erkenntnisse gewinnen, ki-output-metriken verstehen, vorhersagen interpretieren, analytisches schlussfolgern, bedeutung aus ki-analysen ableiten, modellergebnisse erklären, ergebnisinterpretation, statistiken in einsichten umwandeln"
sc_0065,Debug complex logic and runtime errors systematically using structured approaches,NA,BUILD AI,Programming,"debugging techniques, systematic debugging, error diagnosis, troubleshooting, root cause analysis, debugging strategies, fix runtime errors, structured problem solving, debug methodology, diagnose complex issues, step-by-step debugging, bug isolation, fault finding, systematic error resolution, debugging workflow","debugging-techniken, systematisches debugging, fehlerdiagnose, fehlerbehebung, ursachenanalyse, debugging-strategien, laufzeitfehler beheben, strukturiertes problemlösen, debugging-methodik, komplexe probleme diagnostizieren, schritt-für-schritt-debugging, bug-isolation, fehlersuche, systematische fehlerlösung, debugging-workflow"
sc_0066,Use version control systems effectively including branching and collaborative workflows,NA,BUILD AI,Programming,"version control best practices, git branching strategies, collaborative development, source control management, branching and merging, code collaboration, repository management, versioning code, pull request workflows, distributed version control, vcs usage, team coding workflows, effective git usage, branch management, collaborative coding practices","best practices der versionskontrolle, git-branching-strategien, kollaborative entwicklung, versionsverwaltung, branching und merging, code-zusammenarbeit, repository-management, code-versionierung, pull-request-workflows, verteilte versionskontrolle, vcs-nutzung, team-coding-workflows, effektive git-nutzung, branch-management, kollaborative programmierpraktiken"
sc_0067,Apply secure coding principles to prevent vulnerabilities and ensure application security,NA,BUILD AI,Programming,"secure coding, security best practices, prevent vulnerabilities, application security, defensive programming, owasp practices, code security, writing secure code, vulnerability prevention, secure development lifecycle, input validation, encryption and security, mitigate security risks, secure software development, security-aware coding","sicheres programmieren, sicherheits-best-practices, schwachstellen verhindern, anwendungssicherheit, defensives programmieren, owasp-praktiken, code-sicherheit, sicheres codieren, schwachstellenprävention, sicherer entwicklungslebenszyklus, eingabevalidierung, verschlüsselung und sicherheit, sicherheitsrisiken mindern, sichere softwareentwicklung, sicherheitsbewusstes programmieren"
sc_0068,Develop CI/CD pipelines and automated deployment workflows for software delivery,NA,BUILD AI,"Programming, MLOps/Infrastructure","ci/cd pipeline development, continuous integration, continuous deployment, deployment automation, devops pipeline, build and release automation, software delivery pipeline, ci/cd workflow, automated deployment, continuous delivery, integration pipeline, automated build process, ci tools usage, deployment script development, devops practices","ci/cd-pipeline-entwicklung, continuous integration, continuous deployment, bereitstellungsautomatisierung, devops-pipeline, build- und release-automatisierung, software-lieferpipeline, ci/cd-workflow, automatisierte bereitstellung, continuous delivery, integrations-pipeline, automatisierter build-prozess, einsatz von ci-tools, entwicklung von bereitstellungsskripten, devops-praktiken"
sc_0069,Perform thorough code reviews and provide constructive feedback for quality maintenance,NA,BUILD AI,Programming,"code review practices, peer code review, code quality feedback, thorough code inspection, software review process, constructive code feedback, code auditing, reviewing code systematically, peer review guidelines, code quality assurance, best practices in code review, providing code feedback, maintain code quality, collaborative code review, code review standards","code-review-praktiken, peer code review, code-qualitätsfeedback, gründliche code-inspektion, software-review-prozess, konstruktives code-feedback, code-auditing, systematisches code-review, peer-review-richtlinien, code-qualitätssicherung, best practices beim code-review, code-feedback geben, codequalität aufrechterhalten, kollaboratives code-review, code-review-standards"
sc_0070,"Create comprehensive code and system architecture documentation for clarity, usability and knowledge transfer",NA,BUILD AI,Programming,"code documentation, system architecture docs, comprehensive documentation, technical documentation, knowledge transfer docs, design documentation, architecture diagrams, clear technical writing, developer guides, documentation best practices, documenting code and design, architecture blueprints, system documentation, documentation for clarity, knowledge base creation","code-dokumentation, systemarchitektur-dokumentation, umfassende dokumentation, technische dokumentation, wissenstransfer-dokumente, design-dokumentation, architekturdiagramme, klare technische dokumentation, entwicklerhandbücher, dokumentations-best-practices, dokumentation von code und design, architektur-blueprints, systemdokumentation, dokumentation für klarheit, wissensbasis-erstellung"
sc_0071,Refactor legacy codebases to improve maintainability and performance standards,NA,BUILD AI,Programming,"code refactoring, legacy code improvement, code optimization, improving maintainability, refactor old code, performance tuning, modernizing codebase, code cleanup, reduce technical debt, optimize legacy code, codebase modernization, refactoring best practices, code restructuring, enhance code performance, maintainability refactoring","code-refactoring, verbesserung von legacy-code, code-optimierung, wartbarkeit verbessern, alten code refaktorieren, leistungs-tuning, modernisierung der codebasis, code-bereinigung, technische schulden abbauen, legacy-code optimieren, codebasis-modernisierung, refactoring-best-practices, code-restrukturierung, code-leistung steigern, wartbarkeits-refactoring"
sc_0072,"Implement logging systems for monitoring, alerting, and operational observability",NA,BUILD AI,"Programming, MLOps/Infrastructure","logging implementation, monitoring systems, alerting setup, observability tools, log management, application logging, system observability, monitoring and alerts, telemetry and logging, logging infrastructure, log aggregation, operational visibility, metrics and logging, alerting mechanisms, monitoring dashboards","logging-implementierung, überwachungssysteme, alarmierungseinrichtung, observability-tools, log-management, anwendungs-logging, system-observability, monitoring und alerts, telemetrie und logging, logging-infrastruktur, log-aggregation, betriebliche transparenz, metriken und logging, alarmierungsmechanismen, monitoring-dashboards"
sc_0073,Implement containerized applications using Docker and Kubernetes for deployment,NA,BUILD AI,"Programming, MLOps/Infrastructure, Software Design","containerization, docker containers, kubernetes deployment, container orchestration, containerized deployment, microservices deployment, docker & kubernetes usage, container management, deploying containers, kubernetes clusters, container deployment pipeline, orchestrating containers, container best practices, docker image deployment, cloud-native deployment","containerisierung, docker-container, kubernetes-deployment, container-orchestrierung, containerisiertes deployment, microservices-bereitstellung, einsatz von docker & kubernetes, container-management, container bereitstellen, kubernetes-cluster, container-bereitstellungspipeline, orchestrierung von containern, container-best-practices, bereitstellung von docker-images, cloud-natives deployment"
sc_0074,Optimize code for runtime performance and memory efficiency through analysis,NA,BUILD AI,"Programming, Software Design","performance optimization, code optimization, memory optimization, runtime analysis, code profiling, optimizing algorithms, improving code efficiency, performance tuning, memory management, optimize runtime, speed up code, profiling and optimization, efficient coding, optimize resource usage, code performance analysis","leistungsoptimierung, code-optimierung, speicheroptimierung, laufzeitanalyse, code-profiling, algorithmus-optimierung, code-effizienz verbessern, performance-tuning, speicherverwaltung, laufzeit optimieren, code beschleunigen, profiling und optimierung, effizientes programmieren, ressourcennutzung optimieren, code-leistungsanalyse"
sc_0075,Use and extend automated testing and evaluation frameworks to ensure code quality and reliability,NA,BUILD AI,Programming,"automated testing, test frameworks, code quality assurance, unit and integration tests, continuous testing, software testing tools, extend testing frameworks, ensure code reliability, testing automation, tdd practices, write unit tests, test coverage improvement, quality assurance testing, ci/cd testing pipelines, code reliability validation","automatisiertes testen, test-frameworks, code-qualitätssicherung, unit- und integrationstests, kontinuierliches testen, softwaretest-tools, test-frameworks erweitern, code-zuverlässigkeit sicherstellen, testautomatisierung, tdd-praktiken, unit-tests schreiben, testabdeckung verbessern, qs-tests, ci/cd-test-pipelines, validierung der code-zuverlässigkeit"
sc_0076,Detect and correct AI incidents that occurred during deployment,NA,BUILD AI,"MLOps/Infrastructure, AI Ethics","anomaly detection, incident response, error analysis, root cause analysis, debugging, model drift, logging & tracing, red teaming, emergency shutoff, fallback mechanisms","anomalieerkennung, reaktion auf vorfälle, fehleranalyse, ursachenanalyse, fehlersuche, modell-drift, protokollierung & rückverfolgung, red teaming, notausschaltung, fallback-mechanismen"
sc_0077,Preventively monitor AI systems for unintended consequences with negative human impact,NA,BUILD AI,"MLOps/Infrastructure, AI Ethics","proactive ai monitoring, monitoring ai for adverse outcomes, detect unintended ai consequences, prevent negative ai impacts, ai risk monitoring, continuous ai oversight, ai harm prevention, early detection of ai issues, monitoring ai side effects, preventative ai system checks, ai impact surveillance, anticipating ai failures, risk detection in ai, ai issue preemption, guarding against ai-induced harm","proaktives ki-monitoring, überwachung von ki auf negative ergebnisse, unbeabsichtigte ki-folgen erkennen, negative ki-auswirkungen verhindern, ki-risikomonitoring, kontinuierliche ki-aufsicht, verhinderung von ki-schäden, früherkennung von ki-problemen, überwachung von ki-nebenwirkungen, präventive ki-systemkontrollen, ki-auswirkungsüberwachung, antizipation von ki-ausfällen, risikoerkennung bei ki, vorbeugung von ki-problemen, schutz vor ki-bedingtem schaden"
sc_0078,Integrate the ethical framework into the AI development lifecycle,NA,BUILD AI,"MLOps/Infrastructure, AI Ethics","embed ethics in ai development, ethical ai integration, incorporate ethics in ml lifecycle, implement ethical ai guidelines, integrating ai ethics principles, ethical principles in ai pipeline, ethical ai development practices, embedding ethics into ml processes, integrate ethics in ai design, ethical ai governance in development, include ethics in ai workflow, applying ethics framework to ai, build ethics into ai lifecycle, responsible ai development, ai ethics implementation","ethik in die ki-entwicklung einbetten, ethische ki-integration, ethik in den ml-lebenszyklus einbinden, ethische ki-richtlinien umsetzen, integration von ki-ethik-grundsätzen, ethische grundsätze in der ki-pipeline, ethische entwicklungspraktiken für ki, einbettung von ethik in ml-prozesse, ethik in das ki-design integrieren, ethische ki-governance in der entwicklung, ethik in den ki-workflow einbeziehen, anwendung des ethik-rahmens auf ki, ethik in den ki-lebenszyklus einbauen, verantwortungsvolle ki-entwicklung, implementierung von ki-ethik"
sc_0079,Optimize generative AI serving and cost management,NA,BUILD AI,MLOps/Infrastructure,"generative model optimization, ai inference cost optimization, efficient ai serving, cost-effective ai deployment, optimize model serving, scaling generative model serving, inference cost reduction, ai infrastructure optimization, efficient llm serving, cost management for ai, optimize ai resource usage, performance-cost optimization, ai serving efficiency, cost-aware model deployment, optimize inference pipelines","optimierung generativer modelle, ki-inferenz-kostenoptimierung, effiziente ki-bereitstellung, kosteneffiziente ki-implementierung, modellauslieferung optimieren, skalierung der bereitstellung generativer modelle, verringerung der inferenzkosten, ki-infrastruktur-optimierung, effiziente llm-bereitstellung, kostenmanagement für ki, optimierung der ki-ressourcennutzung, leistungs-kosten-optimierung, ki-bereitstellungseffizienz, kostenbewusste modellbereitstellung, optimierung von inferenz-pipelines"
sc_0080,Build evaluation frameworks for generative AI systems,NA,BUILD AI,MLOps/Infrastructure,"ai evaluation frameworks, generative model evaluation, llm performance metrics, testing generative ai, evaluation of generative models, evaluation pipelines, assessing generative ai output, benchmarking generative models, performance evaluation of llms, generative ai assessment, output quality measurement, evaluate generative model performance, evaluation methodology for ai, generative ai testing frameworks, model evaluation criteria","ki-bewertungsframeworks, evaluation generativer modelle, llm-leistungsmetriken, testen generativer ki, bewertung generativer modelle, evaluierungs-pipelines, bewertung von ki-ausgaben, benchmarking generativer modelle, leistungsbewertung von llms, generative ki-bewertung, messung der ausgabequalität, leistung generativer modelle evaluieren, evaluierungsmethodik für ki, test-frameworks für generative ki, modellbewertungskriterien"
sc_0081,"Deploy and monitor models in production to ensure reliability, detect data drift, and enable continuous improvement",NA,BUILD AI,"MLOps/Infrastructure, Machine Learning, MLOps/Infrastructure","model deployment, production model monitoring, detecting data drift, mlops pipeline, continuous model improvement, production ml deployment, model performance monitoring, drift detection, model maintenance, real-time model monitoring, a/b testing models, production model management, model retraining triggers, deployment best practices, monitoring deployed models","modellbereitstellung, produktions-monitoring für modelle, erkennung von daten-drift, mlops-pipeline, kontinuierliche modellverbesserung, ml-deployment in produktion, modellleistungsüberwachung, drift-erkennung, modellwartung, echtzeit-modellüberwachung, a/b-tests von modellen, modellmanagement in produktion, modell-retraining-auslöser, bereitstellungs-best-practices, überwachung bereitgestellter modelle"
sc_0082,Design scalable cloud infrastructure for ML workloads,NA,BUILD AI,MLOps/Infrastructure,"cloud infrastructure design, scalable ml infrastructure, cloud architecture for ml, design for scalability, ml cloud deployment, distributed ml infrastructure, high-performance computing for ml, scalable compute architecture, cloud-based ml systems, scalable ai infrastructure, designing cloud environments, scalable architecture for ai, cloud infrastructure planning, ml infrastructure design, scalable cloud computing","cloud-infrastruktur-design, skalierbare ml-infrastruktur, cloud-architektur für ml, entwurf für skalierbarkeit, ml-cloud-deployment, verteilte ml-infrastruktur, hochleistungsrechnen für ml, skalierbare compute-architektur, cloud-basierte ml-systeme, skalierbare ki-infrastruktur, design von cloud-umgebungen, skalierbare architektur für ki, cloud-infrastruktur-planung, ml-infrastruktur-design, skalierbares cloud-computing"
